Time,investor-capitalization-btc-24h
2011-03-21 00:00:00+00:00,935691.475647898
2011-03-22 00:00:00+00:00,933945.8677696396
2011-03-23 00:00:00+00:00,939937.4159464815
2011-03-24 00:00:00+00:00,956285.8473584893
2011-03-25 00:00:00+00:00,958158.2987941231
2011-03-26 00:00:00+00:00,970953.0727000138
2011-03-27 00:00:00+00:00,973387.6447679041
2011-03-28 00:00:00+00:00,972977.7199977159
2011-03-29 00:00:00+00:00,972127.1258970583
2011-03-30 00:00:00+00:00,970595.3363771188
2011-03-31 00:00:00+00:00,970163.6954328327
2011-04-01 00:00:00+00:00,970383.4405810838
2011-04-02 00:00:00+00:00,968421.9248039249
2011-04-03 00:00:00+00:00,968187.5694123098
2011-04-04 00:00:00+00:00,973634.9565044199
2011-04-05 00:00:00+00:00,975260.4694188973
2011-04-06 00:00:00+00:00,975182.1529939994
2011-04-07 00:00:00+00:00,976095.3515070772
2011-04-08 00:00:00+00:00,976666.9276220705
2011-04-09 00:00:00+00:00,976869.7275563848
2011-04-10 00:00:00+00:00,975916.2287312191
2011-04-11 00:00:00+00:00,976996.1003577615
2011-04-12 00:00:00+00:00,983572.8339359387
2011-04-13 00:00:00+00:00,991420.1782109047
2011-04-14 00:00:00+00:00,1001428.3567561284
2011-04-15 00:00:00+00:00,1015070.4101065057
2011-04-16 00:00:00+00:00,1031347.1601682713
2011-04-17 00:00:00+00:00,1041864.9217803972
2011-04-18 00:00:00+00:00,1069444.529312929
2011-04-19 00:00:00+00:00,1094589.2920175854
2011-04-20 00:00:00+00:00,1105170.7479174845
2011-04-21 00:00:00+00:00,1116569.2964328146
2011-04-22 00:00:00+00:00,1149008.6074981892
2011-04-23 00:00:00+00:00,1204263.2260404455
2011-04-24 00:00:00+00:00,1239667.1675120941
2011-04-25 00:00:00+00:00,1252293.2622061805
2011-04-26 00:00:00+00:00,1269387.0744146206
2011-04-27 00:00:00+00:00,1305838.8555120416
2011-04-28 00:00:00+00:00,1367322.92306775
2011-04-29 00:00:00+00:00,1956359.8638646833
2011-04-30 00:00:00+00:00,2482610.503579618
2011-05-01 00:00:00+00:00,2549040.966270727
2011-05-02 00:00:00+00:00,2587824.383077641
2011-05-03 00:00:00+00:00,2686876.9537052372
2011-05-04 00:00:00+00:00,2961949.736167649
2011-05-05 00:00:00+00:00,3003521.098191204
2011-05-06 00:00:00+00:00,3159970.7509384966
2011-05-07 00:00:00+00:00,3196897.74423894
2011-05-08 00:00:00+00:00,3236043.885021925
2011-05-09 00:00:00+00:00,3291901.1681300574
2011-05-10 00:00:00+00:00,3639546.3703374728
2011-05-11 00:00:00+00:00,3902159.267230031
2011-05-12 00:00:00+00:00,4240061.003852077
2011-05-13 00:00:00+00:00,5111229.638778378
2011-05-14 00:00:00+00:00,5716943.188110468
2011-05-15 00:00:00+00:00,6057520.468501479
2011-05-16 00:00:00+00:00,6617537.116859347
2011-05-17 00:00:00+00:00,6855171.704609226
2011-05-18 00:00:00+00:00,6972238.741212214
2011-05-19 00:00:00+00:00,7101204.921572365
