Time,receiving-addresses-btc-24h
2010-06-23 00:00:00+00:00,77
2010-06-24 00:00:00+00:00,70
2010-06-25 00:00:00+00:00,56
2010-06-26 00:00:00+00:00,40
2010-06-27 00:00:00+00:00,42
2010-06-28 00:00:00+00:00,54
2010-06-29 00:00:00+00:00,75
2010-06-30 00:00:00+00:00,79
2010-07-01 00:00:00+00:00,58
2010-07-02 00:00:00+00:00,55
2010-07-03 00:00:00+00:00,49
2010-07-04 00:00:00+00:00,39
2010-07-05 00:00:00+00:00,48
2010-07-06 00:00:00+00:00,29
2010-07-07 00:00:00+00:00,66
2010-07-08 00:00:00+00:00,72
2010-07-09 00:00:00+00:00,68
2010-07-10 00:00:00+00:00,41
2010-07-11 00:00:00+00:00,273
2010-07-12 00:00:00+00:00,2709
2010-07-13 00:00:00+00:00,1104
2010-07-14 00:00:00+00:00,5970
2010-07-15 00:00:00+00:00,945
2010-07-16 00:00:00+00:00,930
2010-07-17 00:00:00+00:00,315
2010-07-18 00:00:00+00:00,347
2010-07-19 00:00:00+00:00,493
2010-07-20 00:00:00+00:00,533
2010-07-21 00:00:00+00:00,317
2010-07-22 00:00:00+00:00,301
2010-07-23 00:00:00+00:00,287
2010-07-24 00:00:00+00:00,554
2010-07-25 00:00:00+00:00,1650
2010-07-26 00:00:00+00:00,282
2010-07-27 00:00:00+00:00,345
2010-07-28 00:00:00+00:00,270
2010-07-29 00:00:00+00:00,250
2010-07-30 00:00:00+00:00,192
2010-07-31 00:00:00+00:00,136
2010-08-01 00:00:00+00:00,190
2010-08-02 00:00:00+00:00,189
2010-08-03 00:00:00+00:00,474
2010-08-04 00:00:00+00:00,296
2010-08-05 00:00:00+00:00,416
2010-08-06 00:00:00+00:00,275
2010-08-07 00:00:00+00:00,148
2010-08-08 00:00:00+00:00,238
2010-08-09 00:00:00+00:00,321
2010-08-10 00:00:00+00:00,179
2010-08-11 00:00:00+00:00,218
2010-08-12 00:00:00+00:00,233
2010-08-13 00:00:00+00:00,394
2010-08-14 00:00:00+00:00,159
2010-08-15 00:00:00+00:00,90
2010-08-16 00:00:00+00:00,374
2010-08-17 00:00:00+00:00,236
2010-08-18 00:00:00+00:00,317
2010-08-19 00:00:00+00:00,220
2010-08-20 00:00:00+00:00,265
2010-08-21 00:00:00+00:00,216
2010-08-22 00:00:00+00:00,161
2010-08-23 00:00:00+00:00,202
2010-08-24 00:00:00+00:00,216
2010-08-25 00:00:00+00:00,163
2010-08-26 00:00:00+00:00,178
2010-08-27 00:00:00+00:00,152
2010-08-28 00:00:00+00:00,212
2010-08-29 00:00:00+00:00,129
2010-08-30 00:00:00+00:00,210
2010-08-31 00:00:00+00:00,272
2010-09-01 00:00:00+00:00,274
2010-09-02 00:00:00+00:00,187
2010-09-03 00:00:00+00:00,209
2010-09-04 00:00:00+00:00,126
