Time,total-addresses-btc-24h
2010-03-17 00:00:00+00:00,45969
2010-03-18 00:00:00+00:00,46117
2010-03-19 00:00:00+00:00,46276
2010-03-20 00:00:00+00:00,46478
2010-03-21 00:00:00+00:00,46663
2010-03-22 00:00:00+00:00,46844
2010-03-23 00:00:00+00:00,47056
2010-03-24 00:00:00+00:00,47233
2010-03-25 00:00:00+00:00,47427
2010-03-26 00:00:00+00:00,47626
2010-03-27 00:00:00+00:00,47806
2010-03-28 00:00:00+00:00,47992
2010-03-29 00:00:00+00:00,48188
2010-03-30 00:00:00+00:00,48404
2010-03-31 00:00:00+00:00,48615
2010-04-01 00:00:00+00:00,48783
2010-04-02 00:00:00+00:00,48939
2010-04-03 00:00:00+00:00,49103
2010-04-04 00:00:00+00:00,49276
2010-04-05 00:00:00+00:00,49450
2010-04-06 00:00:00+00:00,49613
2010-04-07 00:00:00+00:00,49811
2010-04-08 00:00:00+00:00,50002
2010-04-09 00:00:00+00:00,50227
2010-04-10 00:00:00+00:00,50515
2010-04-11 00:00:00+00:00,50762
2010-04-12 00:00:00+00:00,50985
2010-04-13 00:00:00+00:00,51178
2010-04-14 00:00:00+00:00,51384
2010-04-15 00:00:00+00:00,51659
2010-04-16 00:00:00+00:00,51878
2010-04-17 00:00:00+00:00,52111
2010-04-18 00:00:00+00:00,55456
2010-04-19 00:00:00+00:00,55709
2010-04-20 00:00:00+00:00,55929
2010-04-21 00:00:00+00:00,56166
2010-04-22 00:00:00+00:00,56345
2010-04-23 00:00:00+00:00,56532
2010-04-24 00:00:00+00:00,56715
2010-04-25 00:00:00+00:00,56887
2010-04-26 00:00:00+00:00,57077
2010-04-27 00:00:00+00:00,57287
2010-04-28 00:00:00+00:00,57486
2010-04-29 00:00:00+00:00,57646
2010-04-30 00:00:00+00:00,57806
2010-05-01 00:00:00+00:00,57998
2010-05-02 00:00:00+00:00,58159
2010-05-03 00:00:00+00:00,58327
2010-05-04 00:00:00+00:00,58476
2010-05-05 00:00:00+00:00,58621
2010-05-06 00:00:00+00:00,58776
2010-05-07 00:00:00+00:00,58914
2010-05-08 00:00:00+00:00,59079
2010-05-09 00:00:00+00:00,59248
2010-05-10 00:00:00+00:00,59384
2010-05-11 00:00:00+00:00,59500
2010-05-12 00:00:00+00:00,59633
2010-05-13 00:00:00+00:00,59774
2010-05-14 00:00:00+00:00,59912
2010-05-15 00:00:00+00:00,60006
2010-05-16 00:00:00+00:00,60123
2010-05-17 00:00:00+00:00,60275
2010-05-18 00:00:00+00:00,60467
2010-05-19 00:00:00+00:00,60660
2010-05-20 00:00:00+00:00,60877
2010-05-21 00:00:00+00:00,61069
2010-05-22 00:00:00+00:00,61278
2010-05-23 00:00:00+00:00,61566
2010-05-24 00:00:00+00:00,61792
2010-05-25 00:00:00+00:00,62025
2010-05-26 00:00:00+00:00,62287
2010-05-27 00:00:00+00:00,62518
2010-05-28 00:00:00+00:00,62783
2010-05-29 00:00:00+00:00,63003
2010-05-30 00:00:00+00:00,63189
2010-05-31 00:00:00+00:00,63368
2010-06-01 00:00:00+00:00,63534
2010-06-02 00:00:00+00:00,63711
2010-06-03 00:00:00+00:00,63919
2010-06-04 00:00:00+00:00,64081
2010-06-05 00:00:00+00:00,64250
2010-06-06 00:00:00+00:00,64429
2010-06-07 00:00:00+00:00,64616
2010-06-08 00:00:00+00:00,64828
2010-06-09 00:00:00+00:00,65038
2010-06-10 00:00:00+00:00,65240
2010-06-11 00:00:00+00:00,65474
2010-06-12 00:00:00+00:00,65667
2010-06-13 00:00:00+00:00,65887
2010-06-14 00:00:00+00:00,66120
2010-06-15 00:00:00+00:00,66375
2010-06-16 00:00:00+00:00,66558
2010-06-17 00:00:00+00:00,66746
2010-06-18 00:00:00+00:00,66920
2010-06-19 00:00:00+00:00,67124
2010-06-20 00:00:00+00:00,67346
2010-06-21 00:00:00+00:00,67589
2010-06-22 00:00:00+00:00,67808
2010-06-23 00:00:00+00:00,68059
2010-06-24 00:00:00+00:00,68281
2010-06-25 00:00:00+00:00,68476
2010-06-26 00:00:00+00:00,68662
2010-06-27 00:00:00+00:00,68873
2010-06-28 00:00:00+00:00,69067
2010-06-29 00:00:00+00:00,69296
2010-06-30 00:00:00+00:00,69540
2010-07-01 00:00:00+00:00,69789
2010-07-02 00:00:00+00:00,69994
2010-07-03 00:00:00+00:00,70238
2010-07-04 00:00:00+00:00,70429
2010-07-05 00:00:00+00:00,70633
2010-07-06 00:00:00+00:00,70821
2010-07-07 00:00:00+00:00,71028
2010-07-08 00:00:00+00:00,71236
2010-07-09 00:00:00+00:00,71489
2010-07-10 00:00:00+00:00,71718
2010-07-11 00:00:00+00:00,72150
2010-07-12 00:00:00+00:00,75473
2010-07-13 00:00:00+00:00,77206
2010-07-14 00:00:00+00:00,83684
2010-07-15 00:00:00+00:00,85192
2010-07-16 00:00:00+00:00,86532
2010-07-17 00:00:00+00:00,86979
2010-07-18 00:00:00+00:00,87446
2010-07-19 00:00:00+00:00,88051
2010-07-20 00:00:00+00:00,88725
2010-07-21 00:00:00+00:00,89194
2010-07-22 00:00:00+00:00,89628
2010-07-23 00:00:00+00:00,90062
2010-07-24 00:00:00+00:00,90768
2010-07-25 00:00:00+00:00,92615
2010-07-26 00:00:00+00:00,93076
2010-07-27 00:00:00+00:00,93547
2010-07-28 00:00:00+00:00,93939
2010-07-29 00:00:00+00:00,94326
2010-07-30 00:00:00+00:00,94674
2010-07-31 00:00:00+00:00,94991
2010-08-01 00:00:00+00:00,95388
2010-08-02 00:00:00+00:00,95778
2010-08-03 00:00:00+00:00,96431
2010-08-04 00:00:00+00:00,96891
2010-08-05 00:00:00+00:00,97486
2010-08-06 00:00:00+00:00,97866
2010-08-07 00:00:00+00:00,98141
2010-08-08 00:00:00+00:00,98550
2010-08-09 00:00:00+00:00,99016
2010-08-10 00:00:00+00:00,99357
2010-08-11 00:00:00+00:00,99763
2010-08-12 00:00:00+00:00,100178
2010-08-13 00:00:00+00:00,100744
2010-08-14 00:00:00+00:00,101152
2010-08-15 00:00:00+00:00,101430
2010-08-16 00:00:00+00:00,101895
2010-08-17 00:00:00+00:00,102226
2010-08-18 00:00:00+00:00,102641
2010-08-19 00:00:00+00:00,102957
2010-08-20 00:00:00+00:00,103360
2010-08-21 00:00:00+00:00,103700
2010-08-22 00:00:00+00:00,104046
2010-08-23 00:00:00+00:00,104425
2010-08-24 00:00:00+00:00,104821
2010-08-25 00:00:00+00:00,105176
2010-08-26 00:00:00+00:00,105523
2010-08-27 00:00:00+00:00,105823
2010-08-28 00:00:00+00:00,106173
2010-08-29 00:00:00+00:00,106437
2010-08-30 00:00:00+00:00,106760
2010-08-31 00:00:00+00:00,107171
2010-09-01 00:00:00+00:00,107560
2010-09-02 00:00:00+00:00,107865
2010-09-03 00:00:00+00:00,108204
2010-09-04 00:00:00+00:00,108479
2010-09-05 00:00:00+00:00,108802
2010-09-06 00:00:00+00:00,109079
2010-09-07 00:00:00+00:00,109334
2010-09-08 00:00:00+00:00,109685
2010-09-09 00:00:00+00:00,109997
2010-09-10 00:00:00+00:00,110354
2010-09-11 00:00:00+00:00,110643
2010-09-12 00:00:00+00:00,111015
2010-09-13 00:00:00+00:00,111459
2010-09-14 00:00:00+00:00,111858
2010-09-15 00:00:00+00:00,112275
2010-09-16 00:00:00+00:00,112659
2010-09-17 00:00:00+00:00,113003
2010-09-18 00:00:00+00:00,113382
2010-09-19 00:00:00+00:00,113738
2010-09-20 00:00:00+00:00,114227
2010-09-21 00:00:00+00:00,115149
2010-09-22 00:00:00+00:00,115934
2010-09-23 00:00:00+00:00,116598
2010-09-24 00:00:00+00:00,117126
2010-09-25 00:00:00+00:00,117696
2010-09-26 00:00:00+00:00,118105
2010-09-27 00:00:00+00:00,118759
2010-09-28 00:00:00+00:00,119207
2010-09-29 00:00:00+00:00,120142
2010-09-30 00:00:00+00:00,120561
2010-10-01 00:00:00+00:00,121185
2010-10-02 00:00:00+00:00,121709
2010-10-03 00:00:00+00:00,122096
2010-10-04 00:00:00+00:00,122544
2010-10-05 00:00:00+00:00,122985
2010-10-06 00:00:00+00:00,123405
2010-10-07 00:00:00+00:00,123764
2010-10-08 00:00:00+00:00,124171
2010-10-09 00:00:00+00:00,124616
