Time,market-cap-btc-24h
2011-05-12 00:00:00+00:00,34669234.20815289
2011-05-13 00:00:00+00:00,46073101.92809995
2011-05-14 00:00:00+00:00,51142649.00656297
2011-05-15 00:00:00+00:00,41312602.01972168
2011-05-16 00:00:00+00:00,47583051.14035762
2011-05-17 00:00:00+00:00,47481838.027953595
2011-05-18 00:00:00+00:00,44677580.9266093
2011-05-19 00:00:00+00:00,43567718.79175929
2011-05-20 00:00:00+00:00,41524376.33950622
2011-05-21 00:00:00+00:00,36834227.594203964
2011-05-22 00:00:00+00:00,39968581.08704862
2011-05-23 00:00:00+00:00,44499422.037790634
2011-05-24 00:00:00+00:00,44724469.24974276
2011-05-25 00:00:00+00:00,46849406.78590039
2011-05-26 00:00:00+00:00,53970842.57103338
2011-05-27 00:00:00+00:00,55253571.20792134
2011-05-28 00:00:00+00:00,53842912.58372939
2011-05-29 00:00:00+00:00,52791258.13546066
2011-05-30 00:00:00+00:00,54748179.14911258
2011-05-31 00:00:00+00:00,56777381.28078638
2011-06-01 00:00:00+00:00,57807948.287554786
2011-06-02 00:00:00+00:00,64296955.12082992
2011-06-03 00:00:00+00:00,81569939.12556864
2011-06-04 00:00:00+00:00,104285097.1817021
2011-06-05 00:00:00+00:00,112332151.53567138
2011-06-06 00:00:00+00:00,117877259.24010953
2011-06-07 00:00:00+00:00,122885713.79182531
2011-06-08 00:00:00+00:00,176429871.00455385
2011-06-09 00:00:00+00:00,191879712.86616513
2011-06-10 00:00:00+00:00,172773359.87164006
2011-06-11 00:00:00+00:00,129534497.52521577
2011-06-12 00:00:00+00:00,108893534.82245773
2011-06-13 00:00:00+00:00,136264486.91705385
2011-06-14 00:00:00+00:00,125774650.0526812
2011-06-15 00:00:00+00:00,129128228.49451189
2011-06-16 00:00:00+00:00,126716174.39021859
2011-06-17 00:00:00+00:00,103666938.22914544
2011-06-18 00:00:00+00:00,104463276.84904084
2011-06-19 00:00:00+00:00,116142258.86789842
2011-06-20 00:00:00+00:00,114873873.18151346
2011-06-21 00:00:00+00:00,117637343.87134588
2011-06-22 00:00:00+00:00,116682289.3919436
2011-06-23 00:00:00+00:00,120585949.7699311
2011-06-24 00:00:00+00:00,119642222.52555004
2011-06-25 00:00:00+00:00,121731129.84674248
2011-06-26 00:00:00+00:00,115562637.28423968
2011-06-27 00:00:00+00:00,113477687.90438972
2011-06-28 00:00:00+00:00,112583277.21531838
2011-06-29 00:00:00+00:00,112992722.08849768
2011-06-30 00:00:00+00:00,112631573.59896877
2011-07-01 00:00:00+00:00,108254014.27786861
2011-07-02 00:00:00+00:00,104644877.89794727
2011-07-03 00:00:00+00:00,104166908.04135948
2011-07-04 00:00:00+00:00,100815752.26310499
2011-07-05 00:00:00+00:00,89523168.70205902
2011-07-06 00:00:00+00:00,97931377.36790402
2011-07-07 00:00:00+00:00,102310564.66294956
2011-07-08 00:00:00+00:00,97875448.02541155
2011-07-09 00:00:00+00:00,97184423.57862607
2011-07-10 00:00:00+00:00,100179894.89834914
2011-07-11 00:00:00+00:00,98594324.144499
2011-07-12 00:00:00+00:00,96303089.04935275
2011-07-13 00:00:00+00:00,95521636.75608793
2011-07-14 00:00:00+00:00,95152794.47168347
2011-07-15 00:00:00+00:00,95303922.53669119
2011-07-16 00:00:00+00:00,93311227.34274909
2011-07-17 00:00:00+00:00,91325765.29951999
2011-07-18 00:00:00+00:00,89361296.47237603
2011-07-19 00:00:00+00:00,94553913.27963294
2011-07-20 00:00:00+00:00,94529885.98665377
2011-07-21 00:00:00+00:00,93670005.9512939
2011-07-22 00:00:00+00:00,93732547.59139389
2011-07-23 00:00:00+00:00,93930226.00461793
2011-07-24 00:00:00+00:00,94693495.99406771
2011-07-25 00:00:00+00:00,97442229.90099077
2011-07-26 00:00:00+00:00,96260976.20013897
2011-07-27 00:00:00+00:00,96550737.54972984
2011-07-28 00:00:00+00:00,94476521.73032226
2011-07-29 00:00:00+00:00,93737783.49075204
2011-07-30 00:00:00+00:00,93868027.63596854
2011-07-31 00:00:00+00:00,92973257.66102344
2011-08-01 00:00:00+00:00,92619182.44451782
2011-08-02 00:00:00+00:00,88314902.75797103
2011-08-03 00:00:00+00:00,77628047.29495117
2011-08-04 00:00:00+00:00,73874296.20483546
2011-08-05 00:00:00+00:00,74059988.96698232
2011-08-06 00:00:00+00:00,62070684.57029383
2011-08-07 00:00:00+00:00,53834527.72920141
2011-08-08 00:00:00+00:00,54700574.02476339
2011-08-09 00:00:00+00:00,65749565.239984006
2011-08-10 00:00:00+00:00,70738327.31845517
2011-08-11 00:00:00+00:00,69334444.71445185
2011-08-12 00:00:00+00:00,65768678.46611232
2011-08-13 00:00:00+00:00,67311798.03155306
2011-08-14 00:00:00+00:00,73685178.4141378
2011-08-15 00:00:00+00:00,79270412.14620504
2011-08-16 00:00:00+00:00,78238796.12740389
2011-08-17 00:00:00+00:00,77219284.0241034
2011-08-18 00:00:00+00:00,77178581.73536487
2011-08-19 00:00:00+00:00,79821907.81375676
2011-08-20 00:00:00+00:00,81350255.22824866
2011-08-21 00:00:00+00:00,80862641.01070496
2011-08-22 00:00:00+00:00,79317427.91547734
2011-08-23 00:00:00+00:00,78438414.14255421
2011-08-24 00:00:00+00:00,77921011.20540583
2011-08-25 00:00:00+00:00,73593672.17056713
2011-08-26 00:00:00+00:00,65065410.69042965
2011-08-27 00:00:00+00:00,61727671.5651653
2011-08-28 00:00:00+00:00,62891394.36143128
2011-08-29 00:00:00+00:00,64192911.72861727
2011-08-30 00:00:00+00:00,63082422.196714595
2011-08-31 00:00:00+00:00,61120700.675944254
2011-09-01 00:00:00+00:00,59026752.84945125
2011-09-02 00:00:00+00:00,60351739.86780447
2011-09-03 00:00:00+00:00,61382650.761577144
2011-09-04 00:00:00+00:00,59504224.72081287
2011-09-05 00:00:00+00:00,56063581.9170024
2011-09-06 00:00:00+00:00,48788316.779858194
2011-09-07 00:00:00+00:00,50374123.63658517
2011-09-08 00:00:00+00:00,49831608.3215817
2011-09-09 00:00:00+00:00,39995486.26106708
2011-09-10 00:00:00+00:00,36533517.36117726
2011-09-11 00:00:00+00:00,39106630.34983155
2011-09-12 00:00:00+00:00,44418129.55296667
2011-09-13 00:00:00+00:00,42682632.82491605
2011-09-14 00:00:00+00:00,40944990.67860791
2011-09-15 00:00:00+00:00,37624626.148442194
2011-09-16 00:00:00+00:00,35080423.19920768
2011-09-17 00:00:00+00:00,35003384.4005637
2011-09-18 00:00:00+00:00,35512536.58335128
2011-09-19 00:00:00+00:00,37738222.521007545
2011-09-20 00:00:00+00:00,43247768.24522695
2011-09-21 00:00:00+00:00,42066688.127484344
2011-09-22 00:00:00+00:00,40440496.02489096
2011-09-23 00:00:00+00:00,40584992.1220574
2011-09-24 00:00:00+00:00,40247742.37269796
2011-09-25 00:00:00+00:00,39599351.62897712
2011-09-26 00:00:00+00:00,37335518.68739584
