ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper
2021-12-29,66008.10686165985,63337.28005855249,68907.02986874696,-474757.8753040046,-474900.48802477284,-474678.13485099736
2021-12-30,65565.70118606131,62800.621011774514,68296.22674021883,-475059.66701433057,-475217.99965686013,-474974.4950097964
2021-12-31,63401.14840633207,60799.54665420505,66139.98998795816,-475361.45872465655,-475536.7792278434,-475266.12157601735
2022-01-01,61935.97912879946,58878.15183802976,64755.71445731322,-475663.25043498253,-475853.17198361165,-475555.51405891974
2022-01-02,64800.990947707265,61977.74657567765,67564.30545849295,-475965.0421453083,-476166.3309590126,-475850.4880510387
2022-01-03,61195.79607000336,58487.617766140924,63928.38245402619,-476266.83385563426,-476492.8283320434,-476143.5764587688
2022-01-04,61945.266535382194,59116.89944214396,64750.77446693745,-476568.62556596025,-476801.22504736343,-476441.2920594886
2022-01-05,60197.46058047208,57457.7829421133,63190.16051466308,-476870.417276286,-477109.91400241334,-476738.59721436125
2022-01-06,58826.73857088183,56257.31040745341,61518.100937982286,-477172.2089866122,-477413.3248328674,-477034.6336021357
2022-01-07,58174.33691196999,55372.72001479745,61059.00480984833,-477474.00069693796,-477726.80410217174,-477314.9602355923
2022-01-08,59261.16536033945,56443.42970147228,62067.83292618446,-477775.79240726365,-478040.24826708884,-477602.41628076514
2022-01-09,61837.07734040974,59009.39064688976,64451.82048148764,-478077.58411758963,-478354.33682760975,-477894.358200021
2022-01-10,57553.7337201176,54555.16528300587,60279.05809929685,-478379.3758279156,-478663.8499246616,-478187.1809699618
2022-01-11,58491.18403356231,55562.864151468995,61464.18912542693,-478681.1675382416,-478978.0446664135,-478474.78285001335
2022-01-12,58158.73979488015,55343.70860127725,60888.41076991805,-478982.95924856735,-479282.0074496985,-478761.52276549797
2022-01-13,57488.292519355426,54601.5466138264,60184.07274112103,-479284.7509588931,-479612.547600683,-479065.40015028615
2022-01-14,60018.734518913436,57328.43999840242,62883.29321659407,-479586.5426692193,-479917.8279289948,-479353.10709214513
2022-01-15,56879.75252705591,53835.07478973659,59565.59695409155,-479888.33437954506,-480235.8732883592,-479640.4798714322
2022-01-16,56631.644212697516,53971.07391900244,59389.882680037044,-480190.12608987105,-480553.02931844833,-479938.877172595
2022-01-17,56168.44306330627,53263.94925828023,58907.00255757863,-480491.917800197,-480864.1895597563,-480237.089045076
2022-01-18,55705.38072510291,52914.27417646324,58375.96140788119,-480793.7095105227,-481180.0719026681,-480516.03156214865
